oa_id	Title	year	doi	keylit_score	is key lit	Mechthilde	Main topic	Comment
W4395078754	Oasis agriculture revitalization and carbon sequestration for climate-resilient communities	2024	https://doi.org/10.3389/fagro.2024.1386671	0.419965576592083	yes	yes		Review, SA
W4372318522	Fellowship of the Spring: An initiative to document and protect the world's oases	2023	https://doi.org/10.1016/j.scitotenv.2023.163936	0.39760942104515	yes	yes		review, Fensham
W4309634885	Traditional oases in Northern Africa as multifunctional agroforestry systems: a systematic literature review of the provided Ecosystem Services and of the main vulnerabilities	2022	https://doi.org/10.1007/s10457-022-00789-w	0.390770482500155	yes	yes		review
W2020316226	Typology of oases in northern Oman based on Landsat and SRTM imagery and geological survey data	2008	https://doi.org/10.1016/j.rse.2007.08.007	0.382936573819518	yes	yes		Oman
W4400226965	A high-precision oasis dataset for China from remote sensing images	2024	https://doi.org/10.1038/s41597-024-03553-0	0.375788869764773	yes	yes		China
W3198093746	Seeing through the clouds – Mapping desert fog oasis ecosystems using 20 years of MODIS imagery over Peru and Chile	2021	https://doi.org/10.1016/j.jag.2021.102468	0.367301187301504	yes	yes	fog oases	Peru, Chile
W4380371842	Extraordinary concentrations of local endemism associated with arid-land springs	2023	https://doi.org/10.3389/fenvs.2023.1143378	0.363748300833436	yes	yes	biodiversity, global	Fensham biased??
W1965205954	Environmental conditions and soils of natural oases in the Alashan Gobi Desert, Mongolia	2008	https://doi.org/10.1134/s1064229308080048	0.337379892949349	yes	yes		Mongolia
W2027727130	Mountain oases in northern Oman: An environment for evolution and in situ conservation of plant genetic resources	2007	https://doi.org/10.1007/s10722-006-9205-2	0.334713307376193		yes	biodiversity, agriculture	3 oases, description of mosaic biodiversity
W2937103134	Non-renewable groundwater use and groundwater depletion: a review	2019	https://doi.org/10.1088/1748-9326/ab1a5f	0.334576019212076	yes	yes		review
W2070446248	An endangered oasis of aquatic microbial biodiversity in the Chihuahuan desert	2006	https://doi.org/10.1073/pnas.0601434103	0.334114776907389		yes	Cuatro Cienegas basin, specific oasis type, Mexico	
W2519524582	Progress in the study of oasis-desert interactions	2016	https://doi.org/10.1016/j.agrformet.2016.08.022			yes		China
W2998856018	Characteristics, Main Impacts, and Stewardship of Natural and Artificial Freshwater Environments: Consequences for Biodiversity Conservation	2020	https://doi.org/10.3390/w12010260			yes		Cantonati
W2121056978	A journey of a thousand miles begins with one small step – human agency, hydrological processes and time in socio-hydrology	2014	https://doi:10.5194/hess-18-1369-2014			yes	social-hydrology	Perdue
W2919506491	Geoarchaeology of Holocene oasis formation, hydro-agricultural management and climate change in Masafi, southeast Arabia (UAE) | Quaternary Research | Cambridge Core	2019	https://doi.org/10.1017/qua.2018.142			yes	hydro-argriculture	Perdue
W2910833508	Cross-species hybridization and the origin of North African date palms (pnas.org)	2019	www.pnas.org/cgi/doi/10.1073/pnas.1817453116			yes	Date palms	Fuller
W1993258841	Climate-Controlled Holocene Occupation in the Sahara: Motor of Africa's Evolution	2006	https://doi.org/10.1126/science.1130989			yes	Holocene Sahara occupation	Kuper
W2319868239	Textiles and Ethnicity: Tiwanaku in San Pedro de Atacama, North Chile	1992	https://doi.org/10.2307/971952			yes	Radiocarbon Dating and Agricultural Origins	San Pedro, highly cited
W2059334032	Groundwater: the processes and global significance of aquifer degradation	2003	https://doi.org/10.1098/rstb.2003.1380			yes	Stable Isotope Analysis of Groundwater and Precipitation	Mendoza, highly cited
W4318219080	Sustainable management of water resources and assessment of the vulnerability of Moroccan oases to climate change	2023	https://link.springer.com/article/10.1007/s11356-023-25498-4			yes	water management	Marocco, PerspecPaper Ref
W4362453531	Land-use change and sustainability in the south-eastern oases of Morocco	2023	http://doi.org/10.12775/bgss-2023-0007			yes		Marocco, PerspecPaper Ref
W4210723063	Multiple phases of human occupation in Southeast Arabia between 210,000 and 120,000 years ago	2022	https://doi.org/10.1038/s41598-022-05617-w			yes		Bretzke, PerspecPaper Ref
W2102191864	Agrobiodiversity in an Oasis Archipelago	2013	https://doi.org/10.2993/0278-0771-33.2.203	0.333375264451941		yes	Mexico's Baja California	review, PersecPaper Ref
W4378902823	Hydrogeological and hydrogeochemical insights on the salinization of the shallow groundwater aquifer in Siwa Oasis–Western Desert–Egypt	2023	https://doi.org/10.1016/j.sciaf.2023.e01742			yes		Siwa, Egypt, PerspcPaper Ref
W2809178467	Date Palm Agrobiodiversity (Phoenix dactylifera L.) in Siwa Oasis, Egypt: Combining Ethnography, Morphometry, and Genetics	2018	https://doi.org/10.1007/s10745-018-0006-y	0.333382888291688		yes		Siwa, Egypt, PerspcPaper Ref
W4303634940	What lies behind a fruit crop variety name? A case study of the barnī date palm from al‐‘Ulā oasis, Saudi Arabia	2022	https://doi.org/10.1002/ppp3.10326	0.333352392932701		yes		Ola, Saudi Arabia, Persec Ref
W4384694621	Evaluation and Structuring of Agrodiversity in Oases Agroecosystems of Southern Morocco	2023	https://doi.org/10.3390/agriculture13071413			yes		Marocco, PerspecPaper Ref
W2278201292	The spring of Nadaouiyeh Aïn Askar — Paleoecology of a Paleolithic oasis in arid central Syria	2016	https://doi.org/10.1016/j.palaeo.2016.01.030			yes		Syria, PerspecPaper Ref
W2624902757	Hummal: A very long Paeleolithic Sequence in the steppe of Central Syria - Considerations on Lower Paleolithic and the beginning of Middle Paleolithic	2011	http://edoc.unibas.ch/dok/A5841620			yes	book	Syria, PerspecPaper Ref
W4299291111	From refugia to oasis : Living in arid environments from prehistoric times to the present day	2018				yes	book	Perdue, PerspecPaper Ref
W4385932564	Oases in the Sahara Desert–Linking biological and cultural diversity	2023	https://doi.org/10.1371/journal.pone.0290304					Tockner, PerspecPaper Ref
W2027377146	Beginnings and early history of date palm garden cultivation in the Middle East	2012	https://doi.org/10.1016/j.jaridenv.2011.11.022					review, PerspecPaper Ref
W2053237010	The Neolithic in Arabia: a view from the south	2013	 https://doi.org/10.1111/aae.12012			yes	Yemen	McCorriston
W2985540193	Ecohydrogeology: The interdisciplinary convergence needed to improve the study and stewardship of springs and other groundwater-dependent habitats, biota, and ecosystems	2020	http://doi.org/10.1016/j.ecolind.2019.105803			yes		Cantonati, Stevens
W2174084884	The history and fate of the Nubian Sandstone Aquifer springs in the oasis depressions of the Western Desert, Egypt	2015	https://doi.org/10.1007/s10040-015-1335-1	0.334051909753814		yes	archaeology, history	oases Kharga, Dakhla, Bahriya, Farafra and Siwa, and several outer
W2001209367	Management of groundwater resources in relation to oasis sustainability: The case of the Nefzawa region in Tunisia	2013	https://doi.org/10.1016/j.jenvman.2013.02.041	0.334044285914067		yes	indicators for management of deep fossil aquifers, agriculture, socio-cultural	Nefzawa oasian region
W2204421813	Criterion definition for the identification of physical-geographical boundaries of Khorezm oasis through remotely sensed data	2015	https://doi.org/10.1007/s10661-015-5035-z	0.333937552157611		yes	review of an environmental disaster	Khorezm oasis, Usbekistan
W4284888603	Response of spring wetlands to restored aquifer pressure in the Great Artesian Basin, Australia	2022	https://doi.org/10.1016/j.jhydrol.2022.128152	0.333933740237737		yes	Strategies for reduction of Water extraction 	Australia
W2007248330	Salinization of groundwater in the Nefzawa oases region, Tunisia: results of a regional-scale hydrogeologic approach	2007	https://doi.org/10.1007/s10040-007-0185-x	0.333645910762956		yes	Salinization of groundwater	oases region, Tunesia
W2953196637	The lost world of Cuatro Ciénegas Basin, a relictual bacterial niche in a desert oasis	2018	https://doi.org/10.7554/elife.38278	0.333523929327006		yes	understanding of early evolutionary and ecological processes	Mexico
W3081631495	Urgent plea for global protection of springs	2020	https://doi.org/10.1111/cobi.13576	0.333508681647512		yes		Cantonati
